"","source","publishedAt","urlToImage","author","title","description","url","content","category"
"410","Tabnak.ir",2019-02-18 05:51:21,NA,"info@tabnak.ir","US delegation bids to heap pressure on Maduro to quit","A US delegation including Senator Marco Rubio visited the Colombian border city of Cucuta yesterday, where humanitarian aid is being stockpiled for planned delivery to economically crippled Venezuela next week.","https://www.tabnak.ir/fa/news/879317/us-delegation-bids-to-heap-pressure-on-maduro-to-quit","A US delegation including Senator Marco Rubio visited the Colombian border city of Cucuta yesterday, where humanitarian aid is being stockpiled for planned delivery to economically crippled Venezuela next week.
While Venezuelan President Nicolás Maduro is re… [+3087 chars]",NA
"411","TechCrunch",2019-01-22 19:49:05,"https://techcrunch.com/wp-content/uploads/2017/03/487707471.jpg?w=378","Jonathan Shieber","A private equity bet in Latin America proves the strength of fintech investments there","Latin America is getting another fintech unicorn thanks to Advent International’s acquisition of a 51 percent stake of Prisma Medios de Pago, an Argentine payments company formed as a joint venture between Visa International and local banks. The deal, which v…","http://techcrunch.com/2019/01/22/a-private-equity-bet-in-latin-america-proves-the-strength-of-fintech-investments-there/","Latin America is getting another fintech unicorn thanks to Advent International’s acquisition of a 51 percent stake of Prisma Medios de Pago, an Argentine payments company formed as a joint venture between Visa International and local banks.
The deal, which … [+2460 chars]","technology"
"412","TechCrunch",2019-01-30 22:23:51,"https://techcrunch.com/wp-content/uploads/2018/10/43951510_505516306583824_6849700352892076032_o-e15396234983441.jpg?w=534","Megan Rose Dickey","Electric scooter startup Grin merges with Brazil-based Yellow","Consolidation in the micromobility space has arrived — in Brazil, at least. A few months after Y Combinator-backed Grin merged its electric scooter business with Brazil-based Ride, it’s now merging with Yellow, the bike-share startup based in Latin America Br…","http://techcrunch.com/2019/01/30/electric-scooter-startup-grin-merges-with-brazil-based-yellow/","Consolidation in the micromobility space has arrived — in Brazil, at least. A few months after Y Combinator-backed Grin merged its electric scooter business with Brazil-based Ride, it’s now merging with Yellow, the bike-share startup based in Latin America Br… [+1247 chars]","technology"
"413","TechCrunch",2019-02-07 13:00:37,"https://techcrunch.com/wp-content/uploads/2019/02/Moto-G7_NA_BLACK_LAYDOWN-COMBO.jpg?w=400","Brian Heater","Motorola’s G7 line arrives this spring, starting at $199","Weeks of leaks haven’t left much to the imagination. But for those waiting for the real thing, the latest iteration of Motorola’s budget G line just became officially official as of this morning — and with a few weeks to spare ahead of Mobile World Congress. …","http://techcrunch.com/2019/02/07/motorolas-g7-line-arrives-this-spring-starting-at-199/","Weeks of leaks havent left much to the imagination. But for those waiting for the real thing, the latest iteration of Motorolas budget G line just became officially official as of this morning and with a few weeks to spare ahead of Mobile World Congress. Of c… [+1373 chars]","technology"
"414","TechCrunch",2019-01-28 14:37:18,"https://techcrunch.com/wp-content/uploads/2019/01/Screenshot-2019-01-28-at-13.02.48.png?w=721","Ingrid Lunden","As Clegg appears in Brussels, Facebook tightens controls on political ads, opens Dublin control center ahead of European elections","Facebook continues to feel the heat over its role in how people communicate — and more importantly, miscommunicate — globally, so today in Europe it redoubled its efforts to counter critics by rolling out new controls specifically around election misinformati…","http://techcrunch.com/2019/01/28/as-clegg-appears-in-brussels-facebook-tightens-controls-on-political-ads-opens-dublin-control-center-ahead-of-european-elections/","Facebook continues to feel the heat over its role in how people communicate — and more importantly, miscommunicate — globally, so today in Europe it redoubled its efforts to counter critics by rolling out new controls specifically around election misinformati… [+5318 chars]","technology"
"415","TechCrunch",2019-02-12 17:06:14,"https://techcrunch.com/wp-content/uploads/2018/06/GettyImages-805151920.jpg?w=600","Jonathan Shieber","Investors are pouring money into Latin America’s logistics and shipping businesses","New technology companies are poised to transform the shipping and freight industry across Latin America. Startups like Liftit, a Colombian provider of trucking services, and Nowports, a Brazilian freight shipping startup, are angling to be the next Convoy and…","http://techcrunch.com/2019/02/12/investors-are-pouring-money-into-latin-americas-logistics-and-shipping-businesses/","New technology companies are poised to transform the shipping and freight industry across Latin America.
Startups like Liftit, a Colombian provider of trucking services, and Nowports, a Mexican freight shipping startup, are angling to be the next Convoy and … [+5065 chars]","technology"
"416","Techmeme.com",2019-01-31 02:55:01,"http://techcrunch.com/wp-content/uploads/2018/10/43951510_505516306583824_6849700352892076032_o-e15396234983441.jpg?w=534",NA,"Electric scooter startup Grin, which merged with São Paulo-based Ride in October, merges with Brazil-based Yellow as it expands further across Latin America (Megan Rose Dickey/TechCrunch)","Megan Rose Dickey / TechCrunch : Electric scooter startup Grin, which merged with São Paulo-based Ride in October, merges with Brazil-based Yellow as it expands further across Latin America — Consolidation in the micromobility space has arrived — in Brazil, a…","https://www.techmeme.com/190130/p48",NA,NA
"417","Techmeme.com",2019-01-20 04:20:01,"http://mondrian.mashable.com/uploads%252Fcard%252Fimage%252F919545%252Fa212b37f-fdc1-4a22-8d7e-64309869b016.jpg%252F950x534__filters%253Aquality%252890%2529.jpg?signature=HqGL1sLS100TkfApW5oai1EwdXE=&source=https%3A%2F%2Fblueprint-api-production.s3.amazonaws.com",NA,"Google Maps rolls out ability to see user-reported speed traps via small camera icons, in North America, UK, Australia, Russia, Brazil, India, and Indonesia (Matt Binder/Mashable)","Matt Binder / Mashable : Google Maps rolls out ability to see user-reported speed traps via small camera icons, in North America, UK, Australia, Russia, Brazil, India, and Indonesia — Drivers will soon have an extra set of eyes on the road, courtesy of Google…","https://www.techmeme.com/190119/p11",NA,NA
"418","Techmeme.com",2019-01-22 18:00:15,"http://s1.reutersmedia.net/resources/r/?m=02&d=20190122&t=2&i=1348379314&w=1200&r=LYNXNPEF0L062",NA,"Amazon launches direct sales of merchandise in Brazil after months of delays caused by complicated logistics, testy vendor relations, and a complex tax system (Gabriela Mello/Reuters)","Gabriela Mello / Reuters : Amazon launches direct sales of merchandise in Brazil after months of delays caused by complicated logistics, testy vendor relations, and a complex tax system — SAO PAULO (Reuters) - Amazon.com Inc is launching its long-awaited in-h…","https://www.techmeme.com/190122/p16",NA,NA
"419","The Economist",2019-02-14 15:50:21,"https://cdn.static-economist.com/sites/default/files/images/print-edition/20190216_AMD001_0.jpg",NA,"Brazil’s most famous graft-buster, Sérgio Moro, is now justice minister","That is risky for him, and Brazil","https://www.economist.com/the-americas/2019/02/16/brazils-most-famous-graft-buster-sergio-moro-is-now-justice-minister","HE IS ONLY ten minutes late, which by the norms of Brazils capital amounts to being early. Yet Sérgio Moro apologises profusely, explaining that he was called to a meeting with congressmen. The politeness and an occasional boyish smile are trademarks he deplo… [+4464 chars]","business"
"420","The Economist",2019-01-31 15:58:14,"https://cdn.static-economist.com/sites/default/files/images/print-edition/20190202_WWP003_0.jpg",NA,"Business this week","A dam belonging to Vale, the world’s largest iron-ore producer, collapsed in Brazil, killing at least 84 people. About 276 are still missing. The company’s share price has fallen by 18% since the collapse; investors fear a torrent of compensation claims and r…","https://www.economist.com/the-world-this-week/2019/02/02/business-this-week","A dam belonging to Vale, the worlds largest iron-ore producer, collapsed in Brazil, killing at least 84 people. About 276 are still missing. The companys share price has fallen by 18% since the collapse; investors fear a torrent of compensation claims and reg… [+4120 chars]","business"
"421","The Globe And Mail",2019-02-13 14:13:49,"https://www.theglobeandmail.com/resizer/WLKvgeb9sZYLaGzGk3PgzDcCH1w=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/CUEF6DAIZZASDHCAK2KCMIFYVU.jpg","Rob Gillies","Woman, 19, free on $2000 bail, faces three charges in chair-throwing incident at Toronto condo - The Globe and Mail","Woman, 19, free on $2000 bail, faces three charges in chair-throwing incident at Toronto condo The Globe and Mail A 19-year-old woman turned herself into police on Wednesday to face charges of allegedly throwing two chairs off a 45th-storey balcony along a bu…","https://www.theglobeandmail.com/canada/article-woman-accused-of-throwing-chair-from-toronto-condo-tower-turns-self-in-2/","Marcella Zoia, 19, of Toronto is charged with throwing a chair and other items from a balcony high up in a downtown condo tower that faces a major highway. They say the chair landed in front of the building, and there were no reports of injuries.Facebook
A 1… [+2888 chars]","general"
"422","The Globe And Mail",2019-02-01 23:11:16,"https://www.theglobeandmail.com/resizer/u5pTkQicyAjPlmLcskQz2cIiFMg=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/VMRFVFE6BJHDZMWPMNXQ6VLHCY.JPG",NA,"Venezuelan opposition figure calls on Canada to persuade military to back Guaido - The Globe and Mail","Venezuelan opposition figure calls on Canada to persuade military to back Guaido The Globe and Mail Venezuela air force general defects from Maduro government National Post Pence calls for end of Venezuela's Maduro government CBC.ca Venezuela is the socialist…","https://www.theglobeandmail.com/world/article-venezuelan-opposition-figure-calls-on-canada-to-persuade-military-to/","A high-profile Venezuelan opposition figure is calling on Canada to urge Venezuelas military to back self-declared interim president Juan Guaido instead of socialist President Nicolas Maduro.
Lilian Tintoris comments come as Ottawa prepares to play host to a… [+6207 chars]","general"
"423","The Globe And Mail",2019-01-25 20:56:32,"https://www.theglobeandmail.com/resizer/Ly3eoISuYJatp1mVMbE_LR0tIHk=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/FR4IGGFO3BBZHNHLU2WYKDKZRQ.jpg","Anthony Boadle","Desperate search for survivors after dam bursts at Brazilian iron mine, hundreds missing - The Globe and Mail","Desperate search for survivors after dam bursts at Brazilian iron mine, hundreds missing The Globe and Mail Several dead, hundreds missing after mining dam bursts in Brazil CBC.ca Dam collapse in Brazil leaves 7 dead, 200 missing, floods city with mining wast…","https://www.theglobeandmail.com/world/article-hundreds-missing-in-brazil-after-dam-breaks-area-evacuated/","A structure lays in ruins after a dam collapsed near Brumadinho, Brazil, on Jan. 25, 2019.
Leo Drumond/The Associated Press
Brazilian rescuers were searching for some 200 missing people after a tailings dam burst on Friday at an iron ore mine owned by Vale … [+4501 chars]","general"
"424","The Guardian (AU)",2019-02-12 14:30:07,"https://i.guim.co.uk/img/media/ea6211d104103aeb569308a502136da4dafd46ce/0_213_2502_1502/master/2502.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=4f6364156e88443fa1a1e69fc0c0bacd","Albert Barham","Gordon Banks: England 0–1 Brazil, World Cup match report, 1970 - archive","7 June 1970 No one could fault Gordon Banks. He pushed away the swerving shots at which the Brazilians are so adept as England lose group match Guadalajara, June 7 Brazil, the masters of football technique, triumphed over England in the Jalisco Stadium here t…","https://www.theguardian.com/football/from-the-archive-blog/2019/feb/12/gordon-banks-from-the-archive-world-cup-1970-england-01-brazil","Guadalajara, June 7
Brazil, the masters of football technique, triumphed over England in the Jalisco Stadium here today. Only one goal was scored, by Jairzinho, after an hour, but it was sufficient to remind England that they have never yet beaten Brazil in … [+5445 chars]","general"
"425","The Guardian (AU)",2019-02-17 18:59:08,"https://i.guim.co.uk/img/media/fe54572e4507ca68480e3c75335fd73ee1e82fea/0_159_4032_2419/master/4032.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=cd3bd4fd4852892150ae52ae322c6953","Dom Phillips in Rio de Janeiro","Protests erupt in Brazil after death of black teenager who was restrained","Campaigners say Black Lives Matter movement emerging after action in five major cities Brazilian activists have taken to the streets in five major cities after the death of a young black man, who was restrained by a supermarket security guard. Campaigners sai…","https://www.theguardian.com/world/2019/feb/17/brazil-protests-restraint-death-black-teenager-rio-de-janeiro","Brazilian activists have taken to the streets in five major cities after the death of a young black man who was restrained by a supermarket security guard.
Campaigners said the protests are feeding a nascent Black Lives Matter movement in Brazil, where nearl… [+4024 chars]","general"
"426","The Guardian (AU)",2019-01-23 11:24:50,"https://i.guim.co.uk/img/media/a9e57ba52c1a0e58dc542e87e317a9a5dbe8851c/0_16_2464_1478/master/2464.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctcmV2aWV3LTQucG5n&s=1e34467d39043bd0a28fecb42414f2aa","Michael Billington","Dear Elizabeth review – poets bare their souls in a lyrical show","Gate theatre, London Jade Anouka and Jonjo O’Neill give first-rate performances reading the letters between Elizabeth Bishop and Robert Lowell Sarah Ruhl’s dramatisation of the letters exchanged between two great poets, Elizabeth Bishop and Robert Lowell, was…","https://www.theguardian.com/stage/2019/jan/23/dear-elizabeth-review-gate-theatre-letters-elizabeth-bishop-robert-lowell","Sarah Ruhls dramatisation of the letters exchanged between two great poets, Elizabeth Bishop and Robert Lowell, was first seen at Yale Rep in 2012 and is not without precedent.
What is unusual about Ellen McDougalls staging is that two different actors perfo… [+2044 chars]","general"
"427","The Guardian (AU)",2019-01-22 17:42:37,"https://i.guim.co.uk/img/media/8e5e4260e0191a96228abd83e58446453f9f436a/0_197_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=b5bf18a6d914bd36a776a1c26cffcddf","Larry Elliott in Davos","Jair Bolsonaro alarms climate activists with pro-business speech","New Brazilian president highlights need to grow economy in Davos appearance Brazil’s new rightwing president Jair Bolsonaro has prompted fresh alarm among environmentalists after stressing that protecting his country’s unique eco system has to be consistent w…","https://www.theguardian.com/world/2019/jan/22/jair-bolsonaro-alarms-environmental-activists-with-pro-business-speech","Brazils new rightwing president Jair Bolsonaro has prompted fresh alarm among environmentalists after stressing that protecting his countrys unique ecosystem has to be consistent with growing the economy.
In remarks that did little to assuage fears of the ri… [+2303 chars]","general"
"428","The Guardian (AU)",2019-02-04 21:39:34,"https://i.guim.co.uk/img/media/c6121be00bdc53d6bdb7f62cf8484bbe25680c58/0_270_4011_2406/master/4011.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=f9d2c8d752a320ebdd3eee4c77c295d8","Reuters","Brazil: four women killed every day in 2019, human rights body says","Inter-American Commission on Human Rights called on country to implement strategies to prevent and prosecute femicides Four women have been killed every day so far this year in Brazil, a rate the Inter-American Commission on Human Rights (IACHR) called “alarm…","https://www.theguardian.com/world/2019/feb/04/brazil-women-killed-2019-rate-alarming-iachr","Four women have been killed every day so far this year in Brazil, a rate the Inter-American Commission on Human Rights (IACHR) called alarming on Monday.
The IACHR, the human rights arm of the 35-member Organization of American States, said more must be done… [+2629 chars]","general"
"429","The Guardian (AU)",2019-02-14 05:59:27,"https://i.guim.co.uk/img/media/b171897a001add216547e5d069e0a4bc68821734/0_249_3352_2012/master/3352.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&s=249ecea768267ca75bddce854f6352c3","Ece Temelkuran","From Tahrir to Trump: how rightwing populists usurped the fight for dignity | Ece Temelkuran","Protesters’ need for recognition has been harnessed to a darker, divisive movement and new heroes promising them greatness Thousands of people in Tahrir Square chanted the slogan : “Bread! Dignity! Freedom!” It was 2011, and the height of the Arab spring. Sta…","https://www.theguardian.com/commentisfree/2019/feb/14/tahrir-square-trump-nationalists-hope-protesters","Thousands of people in Tahrir Square chanted the slogan: Bread! Dignity! Freedom! It was 2011, and the height of the Arab spring. Standing on my own in the crowd, I recalled a middle-aged worker Id met in Buenos Aires a decade earlier telling me why he and hi… [+6881 chars]","general"
"430","The Guardian (AU)",2019-02-03 19:55:45,"https://i.guim.co.uk/img/media/055c6bebaed84c1dcc363498f2299c31bba30e21/16_71_5239_3144/master/5239.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=6ecd0bf55cd5280d64cc3fc2168cf11e","Suzanne Wrack in Crawley","All roads lead to Crawley and a joyful Women’s FA Cup double-header | Suzanne Wrack","Manchester United defeat Brighton but the day belongs to National League’s Wasps despite valiant defeat by Arsenal As smoke wafted across the pitch from the makeshift burger stand on the edge of the muddied field on Tinsley Lane, fans joked of postponement – …","https://www.theguardian.com/football/2019/feb/03/crawley-wasps-arsenal-brighton-manchester-united-womens-fa-cup","As smoke wafted across the pitch from the makeshift burger stand on the edge of the muddied field on Tinsley Lane, fans joked of postponement anything to keep the joy of this tie alive because, almost eight years after Crawley Town, then non-league, went on a… [+4590 chars]","general"
